id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,29.51,0.54,0.55,58.28,0.56,10.56,3902,71,73,7707,74,1397,78.17,17170,13421,1.21,0.03,0.23,162,4,31,CHACO
CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,31.67,0.6,0.5,55.89,0.68,10.66,1263,24,20,2229,27,425,81.86,4935,4040,1.01,0.0,0.27,41,0,11,CHACO
CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.71,1.07,0.83,63.47,0.81,11.11,3650,172,133,10203,131,1786,69.53,23477,16324,1.37,0.0,0.15,224,0,25,CHACO
CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.79,0.46,0.62,51.95,0.69,11.5,6037,80,107,9016,119,1995,80.08,21952,17580,0.93,0.01,0.35,163,1,62,CHACO
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,23.19,0.52,0.63,67.01,0.52,8.13,4476,100,122,12935,100,1570,72.84,26867,19571,1.16,0.01,0.2,228,1,39,CHACO
CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,17.07,0.56,0.81,64.02,0.68,16.86,2796,91,132,10486,112,2762,75.56,22089,16690,1.67,0.01,0.19,279,1,31,CHACO
CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.24,0.76,0.84,49.68,0.92,13.55,6449,144,159,9356,173,2551,80.17,23828,19102,1.16,0.02,0.24,221,3,46,CHACO
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,37.56,0.93,1.35,44.7,1.16,14.31,20782,515,745,24733,640,7915,77.88,72555,56504,1.52,0.02,0.55,857,9,308,CHACO
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.47,0.42,0.58,55.31,0.57,12.65,2084,29,40,3783,39,865,76.54,9045,6923,1.11,0.0,0.09,77,0,6,CHACO
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.26,0.46,0.69,69.56,0.29,8.74,1321,30,45,4536,19,570,73.64,9029,6649,1.17,0.66,0.09,78,44,6,CHACO
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,21.15,1.0,1.04,61.84,0.8,14.16,1822,86,90,5327,69,1220,82.46,10656,8787,1.57,0.2,0.19,138,18,17,CHACO
CHACO_GENERAL GUEMES,"General Guemes, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.57,0.64,0.57,67.06,0.82,11.34,7743,253,225,26537,326,4488,68.13,59160,40307,1.56,0.01,0.26,627,5,103,CHACO
CHACO_INDEPENDENCIA,"Independencia, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.49,0.48,0.63,69.29,0.54,9.57,2540,62,82,9032,71,1248,76.45,17235,13177,0.95,0.0,0.13,125,0,17,CHACO
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",ALIANZA FRENTE PARA LA VICTORIA,25.39,0.65,0.86,61.66,0.79,10.65,8981,231,303,21811,281,3766,76.08,47149,35870,0.96,0.01,0.42,344,4,149,CHACO
CHACO_LIBERTAD,"Libertad, Chaco",ALIANZA FRENTE PARA LA VICTORIA,23.55,0.71,1.84,58.65,0.98,14.26,1919,58,150,4778,80,1162,83.29,9969,8303,1.64,0.0,0.24,136,0,20,CHACO
CHACO_MAIPU,"Maipu, Chaco",ALIANZA FRENTE PARA LA VICTORIA,31.18,0.63,0.66,52.47,0.67,14.38,4352,88,92,7323,94,2007,71.04,19875,14119,1.1,0.01,0.05,155,1,7,CHACO
CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",ALIANZA FRENTE PARA LA VICTORIA,28.14,1.01,1.23,52.65,1.03,15.94,9790,351,428,18318,360,5547,79.32,44740,35487,1.72,0.0,0.23,612,1,80,CHACO
CHACO_O'HIGGINS,"O'Higgins, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.46,0.53,0.56,69.7,0.46,9.29,2440,66,70,8738,58,1164,76.31,16702,12745,1.42,0.01,0.21,181,1,27,CHACO
CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",ALIANZA FRENTE PARA LA VICTORIA,26.55,0.62,0.83,62.08,0.5,9.43,1639,38,51,3832,31,582,69.33,9078,6294,1.68,0.0,0.24,106,0,15,CHACO
CHACO_1° DE MAYO,"Primero De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,24.95,0.69,1.17,56.69,0.84,15.67,1963,54,92,4460,66,1233,81.67,9776,7984,1.28,0.0,0.18,102,0,14,CHACO
CHACO_QUITILIPI,"Quitilipi, Chaco",ALIANZA FRENTE PARA LA VICTORIA,29.64,1.26,1.21,51.66,0.88,15.36,5608,238,229,9775,166,2906,71.87,26773,19241,1.52,0.01,0.13,293,1,25,CHACO
CHACO_SAN FERNANDO,"San Fernando, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.65,0.69,2.32,46.69,1.5,18.15,75670,1699,5729,115275,3704,44816,79.69,316049,251872,1.26,0.06,0.66,3179,149,1651,CHACO
