id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_PUAN,"Puan, Buenos Aires",ALIANZA CAMBIEMOS,56.6,0.86,2.1,22.45,3.13,14.86,6340,96,235,2515,351,1665,80.57,14299,11521,2.27,0.02,0.49,261,2,56
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",ALIANZA CAMBIEMOS,42.01,1.09,2.32,40.76,1.73,12.08,2786,72,154,2703,115,801,80,8723,6978,4.37,0.17,0.43,305,12,30
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.5,0.78,3.97,40.03,2.61,20.12,109620,2623,13389,135026,8791,67852,78.06,445232,347552,2.43,0.07,0.45,8448,243,1560
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.12,0.84,2.11,37.02,3.06,22.85,7326,181,452,7948,657,4906,85.6,26036,22288,3.43,0.04,0.2,764,9,45
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",ALIANZA CAMBIEMOS,42.45,0.67,2.27,39.24,2.61,12.76,4331,68,232,4004,266,1302,87.08,12274,10688,4.34,0.05,0.15,464,5,16
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",ALIANZA CAMBIEMOS,48.39,1.03,1.3,15.52,2.01,31.75,5192,110,140,1665,216,3407,84.26,13233,11150,3.61,0.04,0.12,402,5,13
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",ALIANZA CAMBIEMOS,46.7,1.63,1.81,21.73,2.49,25.64,7440,259,288,3462,397,4085,84.32,19766,16666,3.81,0.04,0.56,635,6,94
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",ALIANZA CAMBIEMOS,40.01,0.67,1.77,33.14,1.36,23.05,3036,51,134,2515,103,1749,82.15,9682,7954,3.94,0.06,0.6,313,5,48
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",ALIANZA CAMBIEMOS,42.6,0.78,2.17,29.97,5.1,19.38,5674,104,289,3992,679,2582,77.54,17678,13708,1.71,0.04,1.07,235,6,147
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",ALIANZA CAMBIEMOS,49.85,0.95,2.44,27,0.8,18.95,10448,199,512,5658,168,3972,81.26,26889,21850,3.33,0.01,0.75,727,3,163
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",ALIANZA CAMBIEMOS,46.78,0.69,0.82,34.04,1.28,16.38,2696,40,47,1962,74,944,82.56,7363,6079,4.92,0.12,0.16,299,7,10
BUENOS AIRES_SALTO,"Salto, Buenos Aires",ALIANZA CAMBIEMOS,36.19,1.43,3.27,31.53,3.42,24.16,7520,297,679,6552,711,5019,80.27,26670,21409,2.68,0,0.26,574,1,56
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",ALIANZA CAMBIEMOS,34.6,1.21,1.67,29.09,2.12,31.31,5075,178,245,4267,311,4592,82.9,18564,15389,4.51,0.04,0.14,694,6,21
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",ALIANZA CAMBIEMOS,42.43,0.98,2.65,39.34,1.23,13.38,6913,160,431,6409,200,2180,85.76,19532,16750,2.32,0.04,0.38,388,6,63
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",ALIANZA CAMBIEMOS,51.84,1.47,1.22,26.6,1.72,17.14,2886,82,68,1481,96,954,81.4,7082,5765,3.24,0,0.19,187,0,11
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),28.67,0.99,3.33,29.91,2.45,34.66,28056,968,3256,29272,2398,33920,78.53,127642,100237,1.9,0.07,0.4,1900,66,401
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",ALIANZA CAMBIEMOS,54.46,0.56,3.15,20.98,3.65,17.21,114566,1177,6618,44130,7673,36196,77.16,278076,214577,1.26,0.12,0.58,2712,257,1248
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.88,0.84,3.84,37.32,2.61,25.51,51100,1431,6563,63822,4469,43636,79.87,220234,175905,2.07,0.11,0.6,3634,186,1064
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.95,1.31,3.25,35.94,2.77,25.78,29834,1260,3132,34645,2671,24849,82.91,119736,99278,2.32,0.04,0.55,2300,44,543
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",ALIANZA CAMBIEMOS,43.63,2.21,2.86,27.95,2.7,20.65,15857,804,1040,10158,980,7507,81.77,46254,37822,3.27,0.04,0.58,1238,17,221
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.21,1.01,2.96,36.48,1.75,26.59,11751,382,1116,13734,659,10011,80.74,48591,39234,3.29,0.12,0.63,1289,46,246
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",ALIANZA CAMBIEMOS,42.27,0.9,1.63,39.43,1.46,14.31,3209,68,124,2993,111,1086,86.12,9053,7796,2.36,0.03,0.24,184,2,19
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",ALIANZA CAMBIEMOS,41.41,1.06,3.23,31.18,3.65,19.47,32499,835,2532,24469,2867,15281,80.4,100885,81114,2.42,0.05,0.77,1964,41,626
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.72,0.78,1.02,38.98,1.92,18.58,2538,51,67,2555,126,1218,83.72,8108,6788,3.21,0.04,0.18,218,3,12
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.06,0.85,4.34,28.47,2.58,37.7,59093,1937,9845,64566,5849,85485,80.44,288933,232418,1.64,0.14,0.65,3808,324,1511
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.92,0.2,0.41,37.77,0.27,32.43,428,3,6,559,4,480,87.95,1734,1525,2.16,0.33,0.46,33,5,7
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",ALIANZA CAMBIEMOS,47.61,1.09,3.04,29.61,2.05,16.6,4278,98,273,2661,184,1492,80.95,11422,9246,2.01,0.05,0.75,186,5,69
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",ALIANZA CAMBIEMOS,42.1,1.52,1.69,27.95,3.18,23.56,11888,428,477,7893,898,6654,79.97,37007,29594,4.22,0.01,0.36,1248,2,106
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",ALIANZA CAMBIEMOS,36.01,1.14,3.08,32.44,2.98,24.35,13451,425,1152,12119,1115,9096,78.1,50103,39131,3.95,0.04,0.54,1544,16,213
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",ALIANZA CAMBIEMOS,35.2,0.98,4.17,32.91,3.26,23.48,76727,2146,9083,71724,7115,51172,77.09,289269,222989,1.63,0.07,0.55,3640,152,1230
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.27,1,1.5,43.38,1.1,14.76,2022,53,79,2292,58,780,86.45,6405,5537,4.3,0.13,0.14,238,7,8
BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",ALIANZA CAMBIEMOS,40.6,0.81,1.84,29.27,1.56,25.92,9424,188,428,6795,362,6017,82.58,29447,24317,4.09,0.05,0.39,994,13,96
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",ALIANZA CAMBIEMOS,54.17,0.53,3.7,20.12,5.31,16.17,98080,964,6707,36425,9618,29281,76.14,241980,184237,1.14,0.07,0.51,2100,131,931
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.63,0.96,3.19,37.24,2.76,20.21,7055,191,632,7372,546,4002,72.36,28350,20514,2.76,0.3,0.43,566,61,89
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",ALIANZA CAMBIEMOS,40.85,1.13,1.49,26.6,1.88,28.05,7292,202,266,4748,336,5008,75.03,25256,18950,4.13,0.89,0.77,783,169,146
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.29,0.92,2.89,41.93,2.31,24.66,19341,654,2049,29721,1638,17478,82.13,89330,73366,2.86,0.01,0.51,2097,11,377
CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,26.45,0.57,0.66,57.64,0.87,13.81,883,19,22,1924,29,461,81.81,4465,3653,8.38,0.11,0.14,306,4,5
CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,42.86,0.21,0.05,51.97,0.67,4.24,828,4,1,1004,13,82,83,2464,2045,4.65,0.15,0.73,95,3,15
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.81,0.76,1.72,47.64,0.76,9.3,3868,74,167,4629,74,904,79.29,13266,10518,6.99,0.03,0.61,735,3,64
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.99,0.33,0.33,47.44,0.11,5.79,413,3,3,426,1,52,78.4,1199,940,4.26,0,0.21,40,0,2
CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,38.9,0.49,0.85,50.99,0.49,8.28,5983,75,131,7841,76,1273,80.37,20120,16170,4.3,0.05,0.54,695,8,88
CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,32.02,0.73,0.89,49.38,0.65,16.33,2691,61,75,4150,55,1372,77.63,11325,8792,3.29,0.56,0.57,289,49,50
CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.41,1.25,2.47,38.04,1.37,21.46,28463,1005,1988,30579,1104,17247,75.63,111073,84006,3.24,0.15,0.92,2718,126,776
CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,33.98,0.56,0.51,55.47,0.86,8.62,792,13,12,1293,20,201,83.84,2965,2486,6.07,0.04,0.12,151,1,3
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.25,0.85,0.31,43.51,1.24,14.84,2306,50,18,2556,73,872,81.31,7700,6261,5.05,0.24,0.88,316,15,55
CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,31.34,2.75,1.3,53.97,0.54,10.09,1445,127,60,2488,25,465,59.38,8287,4921,5.69,0.14,0.49,280,7,24
CATAMARCA_PACLIN,"Paclin, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.77,0.43,0.04,48.89,0.83,4.03,1158,11,1,1237,21,102,81.52,3312,2700,5.96,0.07,0.26,161,2,7
CATAMARCA_POMAN,"Poman, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.36,0.33,0.91,55.48,0.58,7.34,2067,19,53,3243,34,429,84.17,7238,6092,3.51,0.08,0.46,214,5,28
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,30.63,1.1,1.68,47.09,2.84,16.66,4352,156,239,6691,404,2367,80.63,18822,15177,5.59,0.08,0.71,848,12,108
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,22.05,0.79,0.82,66.48,0.76,9.09,1444,52,54,4354,50,595,79.43,8728,6933,5.02,0.04,0.48,348,3,33
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,39.23,1.67,0.8,48.54,0.43,9.33,4327,184,88,5354,47,1029,75.88,15258,11578,3.94,0.29,0.52,456,33,60
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,36.73,0.7,1.49,44.31,0.86,15.92,5509,105,223,6645,129,2387,76.85,20740,15939,5.03,0.15,0.73,801,24,116
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,29.51,0.54,0.55,58.28,0.56,10.56,3902,71,73,7707,74,1397,78.17,17170,13421,1.21,0.03,0.23,162,4,31
CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,31.67,0.6,0.5,55.89,0.68,10.66,1263,24,20,2229,27,425,81.86,4935,4040,1.01,0,0.27,41,0,11
CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.71,1.07,0.83,63.47,0.81,11.11,3650,172,133,10203,131,1786,69.53,23477,16324,1.37,0,0.15,224,0,25
CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.79,0.46,0.62,51.95,0.69,11.5,6037,80,107,9016,119,1995,80.08,21952,17580,0.93,0.01,0.35,163,1,62
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,23.19,0.52,0.63,67.01,0.52,8.13,4476,100,122,12935,100,1570,72.84,26867,19571,1.16,0.01,0.2,228,1,39
CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,17.07,0.56,0.81,64.02,0.68,16.86,2796,91,132,10486,112,2762,75.56,22089,16690,1.67,0.01,0.19,279,1,31
CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.24,0.76,0.84,49.68,0.92,13.55,6449,144,159,9356,173,2551,80.17,23828,19102,1.16,0.02,0.24,221,3,46
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,37.56,0.93,1.35,44.7,1.16,14.31,20782,515,745,24733,640,7915,77.88,72555,56504,1.52,0.02,0.55,857,9,308
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.47,0.42,0.58,55.31,0.57,12.65,2084,29,40,3783,39,865,76.54,9045,6923,1.11,0,0.09,77,0,6
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.26,0.46,0.69,69.56,0.29,8.74,1321,30,45,4536,19,570,73.64,9029,6649,1.17,0.66,0.09,78,44,6
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,21.15,1,1.04,61.84,0.8,14.16,1822,86,90,5327,69,1220,82.46,10656,8787,1.57,0.2,0.19,138,18,17
CHACO_GENERAL GUEMES,"General Guemes, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.57,0.64,0.57,67.06,0.82,11.34,7743,253,225,26537,326,4488,68.13,59160,40307,1.56,0.01,0.26,627,5,103
CHACO_INDEPENDENCIA,"Independencia, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.49,0.48,0.63,69.29,0.54,9.57,2540,62,82,9032,71,1248,76.45,17235,13177,0.95,0,0.13,125,0,17
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",ALIANZA FRENTE PARA LA VICTORIA,25.39,0.65,0.86,61.66,0.79,10.65,8981,231,303,21811,281,3766,76.08,47149,35870,0.96,0.01,0.42,344,4,149
CHACO_LIBERTAD,"Libertad, Chaco",ALIANZA FRENTE PARA LA VICTORIA,23.55,0.71,1.84,58.65,0.98,14.26,1919,58,150,4778,80,1162,83.29,9969,8303,1.64,0,0.24,136,0,20
CHACO_MAIPU,"Maipu, Chaco",ALIANZA FRENTE PARA LA VICTORIA,31.18,0.63,0.66,52.47,0.67,14.38,4352,88,92,7323,94,2007,71.04,19875,14119,1.1,0.01,0.05,155,1,7
CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",ALIANZA FRENTE PARA LA VICTORIA,28.14,1.01,1.23,52.65,1.03,15.94,9790,351,428,18318,360,5547,79.32,44740,35487,1.72,0,0.23,612,1,80
CHACO_O'HIGGINS,"O'Higgins, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.46,0.53,0.56,69.7,0.46,9.29,2440,66,70,8738,58,1164,76.31,16702,12745,1.42,0.01,0.21,181,1,27
CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",ALIANZA FRENTE PARA LA VICTORIA,26.55,0.62,0.83,62.08,0.5,9.43,1639,38,51,3832,31,582,69.33,9078,6294,1.68,0,0.24,106,0,15
CHACO_1° DE MAYO,"Primero De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,24.95,0.69,1.17,56.69,0.84,15.67,1963,54,92,4460,66,1233,81.67,9776,7984,1.28,0,0.18,102,0,14
CHACO_QUITILIPI,"Quitilipi, Chaco",ALIANZA FRENTE PARA LA VICTORIA,29.64,1.26,1.21,51.66,0.88,15.36,5608,238,229,9775,166,2906,71.87,26773,19241,1.52,0.01,0.13,293,1,25
CHACO_SAN FERNANDO,"San Fernando, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.65,0.69,2.32,46.69,1.5,18.15,75670,1699,5729,115275,3704,44816,79.69,316049,251872,1.26,0.06,0.66,3179,149,1651
CHACO_SAN LORENZO,"San Lorenzo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.08,0.4,0.75,67.82,0.74,10.2,1705,34,64,5757,63,866,75.64,11389,8615,1.28,0.01,0.17,110,1,15
CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.32,0.58,0.66,65.41,0.48,13.55,2026,61,69,6858,50,1421,77.4,13745,10639,1.34,0,0.1,143,0,11
CHACO_TAPENAGA,"Tapenaga, Chaco",ALIANZA FRENTE PARA LA VICTORIA,12.27,0.64,0.64,78.43,0.69,7.33,231,12,12,1476,13,138,64.75,2962,1918,1.51,0.1,0.26,29,2,5
CHUBUT_BIEDMA,"Biedma, Chubut",ALIANZA FRENTE PARA LA VICTORIA,20.46,0.84,3.39,41.85,3.27,30.19,8781,361,1453,17962,1404,12954,79.06,62379,49316,11.24,0.32,1.42,5541,160,700
CHUBUT_CUSHAMEN,"Cushamen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,16.02,0.64,4.8,57.6,2.05,18.89,2141,85,642,7699,274,2525,79.11,20593,16291,15.85,0.21,1.9,2582,34,309
CHUBUT_ESCALANTE,"Escalante, Chubut",ALIANZA FRENTE PARA LA VICTORIA,21.68,1.02,3.69,41.22,3.52,28.86,22664,1069,3852,43083,3683,30165,78.56,142211,111722,4.73,0.12,1.6,5289,132,1785
CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",ALIANZA FRENTE PARA LA VICTORIA,10.33,0.55,1.32,57.47,2.2,28.13,94,5,12,523,20,256,85.55,1343,1149,20.02,0.52,0.26,230,6,3
CHUBUT_FUTALEUFU,"Futaleufu, Chubut",ALIANZA FRENTE PARA LA VICTORIA,25.25,1.02,4.93,35.61,3.35,29.84,5828,236,1138,8219,774,6887,75.14,36227,27220,14.08,0.07,1.06,3832,18,288
CHUBUT_GAIMAN,"Gaiman, Chubut",ALIANZA FRENTE PARA LA VICTORIA,20.68,0.93,1.94,44.17,1.59,30.68,1312,59,123,2802,101,1946,81.31,9078,7381,13.16,0.16,0.75,971,12,55
CHUBUT_GASTRE,"Gastre, Chubut",ALIANZA FRENTE PARA LA VICTORIA,14.38,0.88,0.44,65.71,0.88,17.7,65,4,2,297,4,80,76.79,948,728,36.95,0.27,0.69,269,2,5
CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",ALIANZA FRENTE PARA LA VICTORIA,13.79,0.41,1.62,63.22,0.88,20.08,204,6,24,935,13,297,81.86,2508,2053,19.82,5.02,3.12,407,103,64
CHUBUT_MARTIRES,"Martires, Chubut",ALIANZA FRENTE PARA LA VICTORIA,3.94,0.25,0.49,60.59,0,34.73,16,1,2,246,0,141,78.84,605,477,14.88,0,0,71,0,0
CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),13.33,1.53,1.31,35.19,0.66,47.98,122,14,12,322,6,439,75.65,1540,1165,21.03,0,0.43,245,0,5
CHUBUT_RAWSON,"Rawson, Chubut",ALIANZA FRENTE PARA LA VICTORIA,22.55,1.05,3.78,37.88,2.59,32.16,15793,733,2645,26533,1812,22529,79.71,100997,80502,11.18,0.18,1.63,9000,146,1311
CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",ALIANZA FRENTE PARA LA VICTORIA,14.36,0.65,1.85,60.59,0.97,21.57,442,20,57,1865,30,664,69.37,4975,3451,9.62,0.61,0.58,332,21,20
CHUBUT_SARMIENTO,"Sarmiento, Chubut",ALIANZA FRENTE PARA LA VICTORIA,19.84,1.01,1.71,44.95,2.95,29.55,1198,61,103,2714,178,1784,72.97,9241,6743,8.65,0.09,1.72,583,6,116
CHUBUT_TEHUELCHES,"Tehuelches, Chubut",ALIANZA FRENTE PARA LA VICTORIA,15.8,0.44,1.13,56.37,0.55,25.72,433,12,31,1545,15,705,74.1,4505,3338,15.67,1.32,0.9,523,44,30
CHUBUT_TELSEN,"Telsen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,12.04,0.84,0.84,66.95,1.4,17.93,43,3,3,239,5,64,59.54,613,365,0.55,0.27,1.37,2,1,5
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.9,0.75,4.26,26.4,4,13.69,64042,944,5362,33224,5032,17227,72.07,177581,127987,1.04,0.03,0.61,1330,44,782
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.85,0.9,4.63,24.32,5.32,18.97,54657,1077,5521,28989,6340,22613,81.23,149400,121356,1.13,0.01,0.64,1372,12,775
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.33,0.72,4.15,22.64,5.59,16.57,69511,994,5736,31277,7717,22887,81.3,172852,140533,1.08,0.02,0.62,1515,31,865
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,52.8,0.64,4.21,22.23,5.61,14.51,79573,967,6340,33512,8461,21867,81.96,186939,153213,1.06,0.02,0.55,1625,30,838
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,64.19,0.51,3.34,16.25,5.57,10.15,108146,851,5627,27379,9382,17104,78.67,217133,170820,0.91,0.03,0.43,1553,45,733
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,63.77,0.45,3.27,17.44,5.35,9.72,101461,722,5201,27749,8515,15463,76.98,209538,161308,0.88,0.03,0.45,1423,43,731
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.75,0.69,5.32,26.52,6.26,15.46,58425,883,6792,33868,7990,19746,78.67,165594,130269,1.23,0.02,0.72,1601,26,938
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,69.39,0.44,2.65,14.28,4.53,8.71,74463,470,2843,15324,4862,9345,74.61,145461,108535,0.69,0.04,0.41,749,39,440
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.25,0.85,5.12,27.09,4.87,16.83,54513,1023,6168,32631,5862,20276,74.86,163967,122747,1.14,0.04,0.68,1395,43,836
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,41.63,0.84,4.78,31.71,3.76,17.29,56567,1146,6491,43089,5110,23489,78.4,176724,138553,1.15,0.04,0.73,1599,50,1012
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.51,0.74,5.45,26.45,6,15.86,55601,900,6654,32314,7331,19383,78.98,157450,124353,1.12,0.03,0.6,1394,34,742
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,51.54,0.59,4.73,22.21,6.37,14.56,66087,754,6071,28479,8169,18665,80.86,161249,130378,1.11,0.02,0.52,1445,25,683
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,45.48,0.81,4.57,26.05,5.08,18.02,60598,1083,6084,34708,6772,24008,79.07,171726,135790,1.15,0.08,0.64,1559,109,869
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,35.99,0.97,3.89,35.17,2.93,21.04,38600,1041,4176,37714,3144,22568,79.3,137805,109277,1.1,0.02,0.73,1204,27,803
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,41.76,1,4.19,27.42,4.33,21.3,48582,1164,4878,31898,5036,24774,81.24,145763,118412,1.12,0.03,0.61,1321,37,722
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA CAMBIEMOS,46.38,3.65,2.87,23.96,1.97,21.17,16855,1328,1043,8707,717,7695,80.16,46342,37149,1.22,0.02,0.92,455,7,342
CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA CAMBIEMOS,60.05,1.64,4.54,16.74,1.9,15.12,492124,13452,37219,137192,15551,123923,78.94,1062470,838709,1.29,0.05,0.95,10817,427,8004
CORDOBA_COLON,"Colon, Cordoba",ALIANZA CAMBIEMOS,58.65,1.79,3.4,16.39,1.61,18.16,93406,2854,5408,26099,2570,28912,79.74,205249,163656,1.66,0.03,1,2716,54,1637
