,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
460,SANTA FE_BELGRANO,"Belgrano, Santa Fe",JUNTOS POR EL CAMBIO,8.92,1.02,35.07,1.66,52,1.32,2729,313,10728,508,15906,403,80.78,38676,31242,0.94,0.14,1.02,293,43,319
461,SANTA FE_CASEROS,"Caseros, Santa Fe",JUNTOS POR EL CAMBIO,9.76,1.62,34.42,1.15,51.04,2.02,5496,911,19389,649,28749,1137,80.2,71775,57561,0.92,0.06,1.16,530,35,665
462,SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",JUNTOS POR EL CAMBIO,6.43,1.08,30.82,1.47,58.64,1.55,7552,1267,36177,1727,68836,1823,80.8,147941,119539,0.56,0.06,1.18,675,77,1405
463,SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",FRENTE DE TODOS,8.91,1.78,45.13,1.58,40.6,2,5316,1063,26936,941,24234,1196,81.69,74652,60983,0.82,0.09,1.22,500,56,741
464,SANTA FE_GARAY,"Garay, Santa Fe",FRENTE DE TODOS,6.4,0.9,50.36,0.63,40.7,1,899,127,7076,89,5718,141,75.04,19239,14436,0.95,0.17,1.55,137,25,224
465,SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",JUNTOS POR EL CAMBIO,7.94,1.53,37.66,1.43,49.69,1.75,10195,1966,48362,1836,63804,2246,79.64,164297,130847,0.71,0.07,1.08,933,93,1412
466,SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",FRENTE DE TODOS,5.04,0.79,47.17,1.03,44.66,1.3,5889,922,55129,1207,52198,1523,80.01,148454,118784,0.46,0.08,1.08,542,97,1277
467,SANTA FE_IRIONDO,"Iriondo, Santa Fe",JUNTOS POR EL CAMBIO,9.69,1.46,40.72,1.69,44.57,1.87,4417,666,18553,769,20306,851,80.08,58149,46566,0.89,0.07,1.19,416,34,554
468,SANTA FE_LA CAPITAL,"La Capital, Santa Fe",JUNTOS POR EL CAMBIO,9.04,1.38,41.2,1.78,44.31,2.28,30429,4661,138662,5996,149131,7682,77.74,441912,343562,0.52,0.1,1.41,1797,343,4861
469,SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",JUNTOS POR EL CAMBIO,7.61,0.8,26.73,1.24,61.89,1.73,5429,572,19066,882,44142,1237,82.19,88623,72837,0.7,0.12,1.25,508,91,910
470,SANTA FE_9 DE JULIO,"Nueve De Julio, Santa Fe",JUNTOS POR EL CAMBIO,4.24,0.63,44.45,2.18,47.63,0.86,795,118,8329,409,8926,162,73.77,25835,19058,0.54,0.06,1.08,102,12,205
471,SANTA FE_ROSARIO,"Rosario, Santa Fe",FRENTE DE TODOS,10.6,1.81,46.58,1.59,37.41,2,84810,14468,372803,12756,299405,16042,79.65,1027023,818037,0.64,0.1,1.43,5213,848,11692
472,SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",JUNTOS POR EL CAMBIO,5.91,0.78,42.54,0.9,48.68,1.18,2607,342,18754,397,21462,522,76.42,58782,44921,0.72,0.09,1.05,325,42,470
